node_id,degree_centrality,betweenness_centrality,closeness_centrality
1,0.00060728745,0.0025152991,0.066087841
387,0.0012145749,0.0013065727,0.063651591
396,0.0010121457,0.037108353,0.070712854
452,0.00060728745,0.0011797374,0.062035363
2,0.0008097166,0.0052039095,0.045758536
3554,0.00060728745,0.0020161063,0.04378501
3587,0.0004048583,0.0027913705,0.047902101
3588,0.0004048583,0.0027913705,0.047902101
3638,0.00060728745,0.0025545757,0.043809862
3,0.00020242915,0,0.039840959
3584,0.00060728745,0.0004311646,0.041493776
4,0.00020242915,0,0.039694338
4931,0.00060728745,0.00080963463,0.041334761
5,0.00020242915,0,0.052209387
89,0.0016194332,0.0035118432,0.055084746
6,0.0004048583,0.00017281388,0.047042691
14,0.0010121457,0.0017992682,0.048001244
121,0.0004048583,0.00022549123,0.046568188
7,0.00020242915,0,0.055036264
9,0.00060728745,0.00080963463,0.058240981
8,0.00020242915,0,0.055036264
10,0.0012145749,0.0034498842,0.061838893
11,0.0004048583,1.0465056e-06,0.058269834
62,0.00060728745,0.00040533647,0.058240981
76,0.0004048583,0.00087633015,0.058267772
206,0.001417004,0.022889295,0.065883357
209,0.0004048583,4.4682391e-06,0.058410386
51,0.00060728745,0.00049825132,0.061854379
12,0.0004048583,9.5879174e-05,0.056192556
95,0.001417004,0.0042531817,0.059245401
126,0.00060728745,0.00020258927,0.058655205
13,0.00020242915,0,0.045803084
15,0.0010121457,0.0012532685,0.046961746
16,0.00020242915,0,0.045803084
84,0.00060728745,0.0029566037,0.050123787
17,0.00020242915,0,0.044855672
18,0.00020242915,0,0.044855672
30,0.00060728745,0.0011601649,0.048962763
148,0.0004048583,0.00031674829,0.046269412
19,0.0004048583,0.00015725588,0.051809124
20,0.00060728745,0.0023831278,0.054130461
191,0.0004048583,0.00012537804,0.05111755
21,0.0004048583,0.0027614011,0.057140213
131,0.0004048583,0.0015302485,0.051384468
200,0.0008097166,0.0078115567,0.060525123
22,0.0004048583,0.00065364755,0.046536603
52,0.00060728745,0.0015962853,0.048804102
177,0.0004048583,0.00024936305,0.044470451
23,0.00020242915,0,0.056799237
4446,0.00060728745,0.0004048583,0.060218934
24,0.00020242915,0,0.05212675
4447,0.0012145749,0.0031071097,0.054992764
25,0.0004048583,0.00053791919,0.054424467
54,0.0004048583,0.00018368539,0.051786856
4462,0.0012145749,0.0052435851,0.057550269
26,0.0004048583,0.00013199178,0.051747798
59,0.0008097166,0.0007086931,0.053555941
137,0.0004048583,0.00015037641,0.051244813
27,0.0008097166,0.00052646548,0.058123117
132,0.00060728745,0.00012160718,0.058122434
140,0.0010121457,0.0010927203,0.060837438
204,0.00020242915,0,0.054931003
28,0.0004048583,0.00015742158,0.044343112
162,0.0004048583,0.0005601896,0.046389768
167,0.0004048583,2.008307e-06,0.042587675
29,0.00020242915,0,0.058549536
99,0.0018218623,0.011441574,0.062189994
161,0.00020242915,0,0.046677753
31,0.0004048583,0,0.058523178
124,0.0010121457,0.0029487805,0.058888041
141,0.001417004,0.0064247951,0.062139146
32,0.0004048583,0.0001708674,0.051649328
63,0.0004048583,0.00038400396,0.053652497
105,0.00060728745,0.00038843404,0.052192287
33,0.0004048583,5.8017008e-05,0.053094301
156,0.0004048583,0.00016319138,0.05395487
175,0.0008097166,0.0012464976,0.054959726
34,0.00020242915,0,0.059224092
35,0.00060728745,0.0011641402,0.062951588
36,0.0010121457,0.023269885,0.067163367
98,0.0004048583,0.0003852699,0.059415705
37,0.0012145749,0.017565637,0.063656513
70,0.001417004,0.1841234,0.071667948
142,0.00060728745,0.0044307004,0.063330898
143,0.0004048583,0,0.063015027
38,0.00020242915,0,0.059847595
39,0.00020242915,0,0.059847595
40,0.00020242915,0,0.059847595
48,0.0010121457,0.00703873,0.060904193
158,0.0008097166,0.012543811,0.059975476
41,0.0004048583,0.00015319446,0.056877058
203,0.0004048583,0.00017555623,0.057614705
42,0.0010121457,0.0066076287,0.055553681
43,0.00060728745,0.0066656475,0.058671227
168,0.0004048583,0,0.052637748
219,0.00060728745,0.0037043329,0.052664122
233,0.0004048583,0.0014475845,0.054575384
182,0.0004048583,0.00018536415,0.056852184
44,0.0004048583,0.00075043565,0.055950075
164,0.0008097166,0.0012374924,0.05431735
45,0.00020242915,0,0.057408483
46,0.00020242915,0,0.057408483
47,0.0004048583,0.0023470894,0.058411077
185,0.001417004,0.012933629,0.060982384
172,0.00060728745,0.010849132,0.061597546
49,0.00060728745,0.00061923031,0.056117233
102,0.00060728745,0.0016967611,0.055631884
107,0.0004048583,7.018273e-05,0.055293762
50,0.00020242915,0,0.059995142
4449,0.001417004,0.0091240224,0.063823465
195,0.00060728745,0.0020738388,0.051279922
53,0.00060728745,3.2841519e-05,0.050122262
112,0.0008097166,0.00047130563,0.050959356
120,0.0008097166,0.00025356606,0.050606458
173,0.0004048583,0.00029179895,0.052264624
232,0.0004048583,5.0460557e-05,0.050894255
55,0.0004048583,0.00052500307,0.048224292
110,0.0004048583,0.00090997057,0.050569677
56,0.0004048583,6.0128534e-05,0.052210491
108,0.0004048583,0.00012811028,0.053024774
57,0.0010121457,0.0010426389,0.05323448
150,0.0004048583,0,0.053213836
153,0.0004048583,0,0.053213836
176,0.0004048583,0,0.050569159
199,0.0012145749,0.0038687061,0.05619767
58,0.0004048583,0.0011312196,0.058961138
2563,0.001417004,0.0069958276,0.060571877
60,0.0004048583,0.00020606919,0.052720889
61,0.0004048583,0.00034347482,0.053814395
155,0.001417004,0.0027786258,0.056667623
189,0.0004048583,0.00040271806,0.061814906
210,0.00020242915,0,0.055036264
64,0.00020242915,0,0.063535343
69,0.0012145749,0.059867725,0.067845028
65,0.00020242915,0,0.063535343
66,0.00020242915,0,0.063535343
67,0.00020242915,0,0.066876049
68,0.00020242915,0,0.067665671
71,0.00060728745,0.14786129,0.072575551
980,0.00060728745,0.0017211024,0.063557414
4894,0.0010121457,0.060492325,0.065144003
1031,0.0020242915,0.038827824,0.068152972
1053,0.0010121457,0.031789151,0.067071267
2345,0.0004048583,0.075660551,0.070646112
109,0.0008097166,0.17741564,0.07421652
72,0.0004048583,2.788964e-05,0.047353387
87,0.00060728745,0.00043154569,0.049699189
225,0.00060728745,0.00040607421,0.04723792
73,0.00060728745,0.00080165821,0.0561013
74,0.00060728745,0.00046196781,0.053423309
113,0.00060728745,0.0023701312,0.059296603
216,0.00060728745,0.00078866003,0.056017962
92,0.00060728745,0.00075358955,0.053005998
75,0.00020242915,0,0.058549536
77,0.0008097166,0.0014875975,0.052291179
78,0.00060728745,0.0019885802,0.055151163
111,0.0004048583,0,0.049696189
186,0.0004048583,1.9929601e-05,0.049721699
